title,category,organization,d_day,deadline,status,url,source,collected_at
2026 HiKR MEDIA ART(하이커 미디어 아트) 공모전,"분야 : 광고/마케팅, 영상/UCC/사진, 건축/건설/인테리어, 예체능/미술/음악, 대외활동/서포터즈",문화체육관광부,47,2026-07-31,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107781,위비티,2026-06-14
[농림축산식품부 및 aT 한국농수산식품유통공사] 2026년 K-푸드 대학생 홍보 콘텐츠 공모전,분야 : 영상/UCC/사진,농림축산식품부 / aT 한국농수산식품유통공사,47,2026-07-31,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108258,위비티,2026-06-14
[국립아시아문화전당] 2026 ACC 민주·인권·평화 영상(+AI) 콘텐츠 공모전,"분야 : 광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 예체능/미술/음악, 기타",국립아시아문화전당,47,2026-07-31,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=107427,위비티,2026-06-14
2026 제15회 협성독서왕 독후감 공모전,"분야 : 기획/아이디어, 문학/글/시나리오, 대외활동/서포터즈, 기타",협성문화재단•북두칠성도서관,47,2026-07-31,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=1&ix=106999,위비티,2026-06-14
2026년 3D프린팅 활용 우수사례 공모전,분야 : 기타,과학기술정보통신부,47,2026-07-31,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108216,위비티,2026-06-14
2026 네이버웹툰 고등 최강자전,분야 : 디자인/캐릭터/웹툰,한국만화영상진흥원 × 네이버웹툰,47,2026-07-31,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108212,위비티,2026-06-14
2026년 제3회 샤롯데 독서미술대전,분야 : 예체능/미술/음악,롯데장학재단,55,2026-08-08,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108217,위비티,2026-06-14
장애학생 성장 자립 지원사업(정보통신보조기기 보급 자부담금 지원사업),분야 : 기타,"한국주택금융공사, 사랑의열매 사회복지공동모금회, 한국장애인단체총연맹",60,2026-08-13,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108223,위비티,2026-06-14
제8회 시티문화재단 청소년 웹툰 공모전,분야 : 디자인/캐릭터/웹툰,재단법인 시티문화재단,78,2026-08-31,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108211,위비티,2026-06-14
2026 GOYANG Youth Media Contest (전국 청소년 영상 공모전),분야 : 영상/UCC/사진,중부대학교 고양창의캠퍼스,78,2026-08-31,접수예정,https://www.wevity.com/?c=find&s=1&gbn=view&gp=3&ix=108214,위비티,2026-06-14
2026년 국민체육진흥공단 공공데이터 활용 경진대회,분야 : 웹/모바일/IT,국민체육진흥공단,110,2026-10-02,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108240,위비티,2026-06-14
2026년 쇼츠 영상 공모전,분야 : 영상/UCC/사진,대구광역시 중구청,138,2026-10-30,접수중,https://www.wevity.com/?c=find&s=1&gbn=view&gp=2&ix=108260,위비티,2026-06-14
